id,item_id,price,week,year,date_created,date_updated
973,10001000201,4314533.34,11,2024,2024-03-17T14:18:44+00:00,2024-03-17T14:18:44+00:00
4205,10001000201,5999999.50,13,2024,2024-03-25T14:20:57+00:00,2024-03-27T11:12:48+00:00
8681,10001000201,5999999.50,14,2024,2024-04-03T10:44:29+00:00,2024-04-03T10:44:29+00:00
12800,10001000201,6125617.00,15,2024,2024-04-10T12:44:10+00:00,2024-04-10T12:44:10+00:00
17009,10001000201,6125617.00,16,2024,2024-04-17T11:27:31+00:00,2024-04-17T11:27:31+00:00
21218,10001000201,4565143.51,17,2024,2024-04-24T19:28:00+00:00,2024-04-24T19:28:00+00:00
25393,10001000201,4565143.51,18,2024,2024-05-01T10:41:53+00:00,2024-05-01T10:41:53+00:00
29568,10001000201,3123980.71,19,2024,2024-05-08T18:03:15+00:00,2024-05-08T18:03:15+00:00
33708,10001000201,3123980.71,20,2024,2024-05-15T18:19:55+00:00,2024-05-15T18:19:55+00:00
37848,10001000201,3156860.75,21,2024,2024-05-22T14:11:46+00:00,2024-05-22T14:11:46+00:00
42004,10001000201,3156860.75,22,2024,2024-05-30T22:15:58+00:00,2024-05-30T22:15:58+00:00
46161,10001000201,4249999.12,23,2024,2024-06-06T20:46:08+00:00,2024-06-06T20:46:08+00:00
50329,10001000201,4249999.12,24,2024,2024-06-14T10:58:51+00:00,2024-06-14T10:58:51+00:00
54497,10001000201,15724485.48,25,2024,2024-06-19T19:20:31+00:00,2024-06-19T19:42:29+00:00
58654,10001000201,15724485.48,26,2024,2024-06-26T13:24:33+00:00,2024-06-26T13:24:33+00:00
62811,10001000201,67676895.18,27,2024,2024-07-05T19:29:57+00:00,2024-07-05T19:29:57+00:00
66989,10001000201,67676895.18,28,2024,2024-07-11T08:55:38+00:00,2024-07-11T08:55:38+00:00
71167,10001000201,57789681.52,29,2024,2024-07-21T13:27:51+00:00,2024-07-21T13:27:51+00:00
75433,10001000201,57789681.52,30,2024,2024-07-26T16:28:07+00:00,2024-07-26T16:28:07+00:00
79699,10001000201,65119657.60,32,2024,2024-08-07T20:18:21+00:00,2024-08-09T14:31:07+00:00
83980,10001000201,160266666.67,35,2024,2024-08-30T12:13:33+00:00,2024-08-30T14:15:15+00:00
88257,10001000201,100327868.67,37,2024,2024-09-11T14:21:54+00:00,2024-09-11T14:21:54+00:00
92576,10001000201,100327868.67,38,2024,2024-09-18T15:00:04+00:00,2024-09-18T15:00:04+00:00
96895,10001000201,110731707.32,39,2024,2024-09-25T12:11:16+00:00,2024-09-25T12:11:16+00:00
101195,10001000201,112391891.89,41,2024,2024-10-11T17:05:02+00:00,2024-10-11T17:05:02+00:00
105433,10001000201,112854838.71,44,2024,2024-11-03T16:44:05+00:00,2024-11-03T16:44:05+00:00
109721,10001000201,167142857.14,47,2024,2024-11-20T11:37:46+00:00,2024-11-20T11:37:46+00:00
113927,10001000201,165439276.28,50,2024,2024-12-11T16:48:53+00:00,2024-12-11T16:48:53+00:00
118148,10001000201,115242887.26,51,2024,2024-12-18T12:32:36+00:00,2024-12-18T12:32:36+00:00
122364,10001000201,110744981.70,1,2025,2025-01-01T20:10:11+00:00,2025-01-01T20:10:11+00:00
126537,10001000201,121079365.08,3,2025,2025-01-15T21:05:19+00:00,2025-01-15T21:05:19+00:00
130812,10001000201,121079365.08,6,2025,2025-02-04T20:20:24+00:00,2025-02-04T20:20:24+00:00
135087,10001000201,91871894.62,10,2025,2025-03-03T17:22:43+00:00,2025-03-03T17:22:43+00:00
139587,10001000201,140803303.93,11,2025,2025-03-12T11:01:45+00:00,2025-03-12T11:01:45+00:00
144096,10001000201,208628553.37,13,2025,2025-03-26T16:26:58+00:00,2025-03-26T16:26:58+00:00
148579,10001000201,138062179.48,15,2025,2025-04-09T13:33:32+00:00,2025-04-09T13:33:32+00:00
153134,10001000201,114443150.37,17,2025,2025-04-23T12:04:50+00:00,2025-04-23T12:04:50+00:00
157598,10001000201,150764144.54,19,2025,2025-05-07T13:03:42+00:00,2025-05-07T13:03:42+00:00
162077,10001000201,192291880.14,21,2025,2025-05-21T19:47:36+00:00,2025-05-21T19:47:36+00:00
