id,item_id,price,week,year,date_created,date_updated
6684,23018000000,2300000000.00,13,2024,2024-03-25T15:24:20+00:00,2024-03-27T11:13:47+00:00
11079,23018000000,2300000000.00,14,2024,2024-04-03T10:45:31+00:00,2024-04-03T10:45:31+00:00
23614,23018000000,3283333333.33,17,2024,2024-04-24T19:29:04+00:00,2024-04-24T19:29:04+00:00
27789,23018000000,3283333333.33,18,2024,2024-05-01T10:42:56+00:00,2024-05-01T10:42:56+00:00
48591,23018000000,3350000000.00,23,2024,2024-06-06T20:47:21+00:00,2024-06-06T20:47:21+00:00
52759,23018000000,3350000000.00,24,2024,2024-06-14T11:00:04+00:00,2024-06-14T11:00:04+00:00
82128,23018000000,3809399999.40,32,2024,2024-08-07T20:19:40+00:00,2024-08-09T14:32:23+00:00
86423,23018000000,2999999999.50,35,2024,2024-08-30T14:16:34+00:00,2024-08-30T14:16:34+00:00
99389,23018000000,3488999999.00,39,2024,2024-09-25T12:12:49+00:00,2024-09-25T12:12:49+00:00
103635,23018000000,1930000000.67,41,2024,2024-10-11T17:08:07+00:00,2024-10-11T17:08:07+00:00
107917,23018000000,2463333333.83,44,2024,2024-11-03T16:46:11+00:00,2024-11-03T16:46:11+00:00
112148,23018000000,3118993055.50,47,2024,2024-11-20T11:40:25+00:00,2024-11-20T11:40:25+00:00
116344,23018000000,3846597221.20,50,2024,2024-12-11T16:51:06+00:00,2024-12-11T16:51:06+00:00
120615,23018000000,3013714285.00,51,2024,2024-12-18T12:35:02+00:00,2024-12-18T12:35:02+00:00
124818,23018000000,2716333333.33,1,2025,2025-01-01T20:12:40+00:00,2025-01-01T20:12:40+00:00
129006,23018000000,3699500000.00,3,2025,2025-01-15T21:07:38+00:00,2025-01-15T21:07:38+00:00
133281,23018000000,3699500000.00,6,2025,2025-02-04T20:24:06+00:00,2025-02-04T20:24:06+00:00
155784,23018000000,3966999999.33,17,2025,2025-04-23T12:07:21+00:00,2025-04-23T12:07:21+00:00
164724,23018000000,2700600000.00,21,2025,2025-05-21T19:50:10+00:00,2025-05-21T19:50:10+00:00
173702,23018000000,1682666666.33,25,2025,2025-06-18T11:56:51+00:00,2025-06-18T11:56:51+00:00
178260,23018000000,1601142857.00,26,2025,2025-06-25T17:28:24+00:00,2025-06-25T17:28:24+00:00
182711,23018000000,1220250375.38,28,2025,2025-07-09T13:08:15+00:00,2025-07-09T13:08:15+00:00
187147,23018000000,2295962962.33,30,2025,2025-07-23T20:40:56+00:00,2025-07-23T20:40:56+00:00
191551,23018000000,2295962962.33,32,2025,2025-08-06T13:30:06+00:00,2025-08-06T13:30:06+00:00
191552,23018000000,1999999665.89,37,2025,2025-09-10T21:58:34+00:00,2025-09-10T21:58:34+00:00
