id,item_id,price,week,year,date_created,date_updated
2815,23021000000,3.00,11,2024,2024-03-17T14:19:51+00:00,2024-03-17T14:19:51+00:00
15244,23021000000,1700000000.00,15,2024,2024-04-10T12:45:16+00:00,2024-04-10T12:45:16+00:00
19453,23021000000,1700000000.00,16,2024,2024-04-17T11:28:38+00:00,2024-04-17T11:28:38+00:00
23615,23021000000,2399999999.50,17,2024,2024-04-24T19:29:04+00:00,2024-04-24T19:29:04+00:00
27790,23021000000,2399999999.50,18,2024,2024-05-01T10:42:56+00:00,2024-05-01T10:42:56+00:00
90762,23021000000,1999999999.00,37,2024,2024-09-11T14:23:23+00:00,2024-09-11T14:23:23+00:00
95081,23021000000,1999999999.00,38,2024,2024-09-18T15:01:28+00:00,2024-09-18T15:01:28+00:00
124819,23021000000,1493000000.00,1,2025,2025-01-01T20:12:40+00:00,2025-01-01T20:12:40+00:00
137702,23021000000,2596333333.33,10,2025,2025-03-03T17:25:07+00:00,2025-03-03T17:25:07+00:00
151257,23021000000,1561500000.00,15,2025,2025-04-09T13:37:32+00:00,2025-04-09T13:37:32+00:00
151258,23021000000,2091000000.00,23,2025,2025-06-04T11:21:36+00:00,2025-06-04T11:21:36+00:00
