id,item_id,price,week,year,date_created,date_updated
384,73010000002,50000000.00,11,2024,2024-03-17T14:18:34+00:00,2024-03-17T14:18:34+00:00
8036,73010000002,50000000.00,13,2024,2024-03-25T15:25:36+00:00,2024-03-27T11:14:55+00:00
12405,73010000002,50000000.00,14,2024,2024-04-03T10:46:46+00:00,2024-04-03T10:46:46+00:00
16628,73010000002,50000000.00,15,2024,2024-04-10T12:46:39+00:00,2024-04-10T12:46:39+00:00
20837,73010000002,50000000.00,16,2024,2024-04-17T11:30:01+00:00,2024-04-17T11:30:01+00:00
25002,73010000002,50000000.00,17,2024,2024-04-24T19:30:25+00:00,2024-04-24T19:30:25+00:00
29177,73010000002,50000000.00,18,2024,2024-05-01T10:44:14+00:00,2024-05-01T10:44:14+00:00
33314,73010000002,50000000.00,19,2024,2024-05-08T18:05:33+00:00,2024-05-08T18:05:33+00:00
37454,73010000002,50000000.00,20,2024,2024-05-15T18:22:14+00:00,2024-05-15T18:22:14+00:00
41637,73010000002,50000000.00,21,2024,2024-05-22T14:14:11+00:00,2024-05-22T14:14:11+00:00
45793,73010000002,50000000.00,22,2024,2024-05-30T22:18:28+00:00,2024-05-30T22:18:28+00:00
49962,73010000002,50000000.00,23,2024,2024-06-06T20:48:42+00:00,2024-06-06T20:48:42+00:00
54130,73010000002,50000000.00,24,2024,2024-06-14T11:01:33+00:00,2024-06-14T11:01:33+00:00
58290,73010000002,50000000.00,25,2024,2024-06-19T19:44:56+00:00,2024-06-19T19:44:56+00:00
62447,73010000002,50000000.00,26,2024,2024-06-26T13:27:15+00:00,2024-06-26T13:27:15+00:00
66619,73010000002,50000000.00,27,2024,2024-07-05T19:32:35+00:00,2024-07-05T19:32:35+00:00
70797,73010000002,50000000.00,28,2024,2024-07-11T08:58:16+00:00,2024-07-11T08:58:16+00:00
75036,73010000002,50000000.00,29,2024,2024-07-21T13:30:35+00:00,2024-07-21T13:30:35+00:00
79302,73010000002,50000000.00,30,2024,2024-07-26T16:30:56+00:00,2024-07-26T16:30:56+00:00
83521,73010000002,50000000.00,32,2024,2024-08-07T20:21:07+00:00,2024-08-09T14:33:50+00:00
87836,73010000002,50000000.00,35,2024,2024-08-30T14:18:02+00:00,2024-08-30T14:18:02+00:00
92170,73010000002,50000000.00,37,2024,2024-09-11T14:24:53+00:00,2024-09-11T14:24:53+00:00
96489,73010000002,50000000.00,38,2024,2024-09-18T15:02:59+00:00,2024-09-18T15:02:59+00:00
105036,73010000002,50000000.00,41,2024,2024-10-11T17:10:53+00:00,2024-10-11T17:10:53+00:00
109313,73010000002,50000000.00,44,2024,2024-11-03T16:48:08+00:00,2024-11-03T16:48:08+00:00
113539,73010000002,50000000.00,47,2024,2024-11-20T11:42:27+00:00,2024-11-20T11:42:27+00:00
117740,73010000002,50000000.00,50,2024,2024-12-11T16:53:19+00:00,2024-12-11T16:53:19+00:00
122005,73010000002,50000000.00,51,2024,2024-12-18T12:37:08+00:00,2024-12-18T12:37:08+00:00
126167,73010000002,50000000.00,1,2025,2025-01-01T20:14:38+00:00,2025-01-01T20:14:38+00:00
130435,73010000002,50000000.00,3,2025,2025-01-15T21:10:06+00:00,2025-01-15T21:10:06+00:00
134710,73010000002,50000000.00,6,2025,2025-02-04T20:28:15+00:00,2025-02-04T20:28:15+00:00
139197,73010000002,50000000.00,10,2025,2025-03-03T17:27:21+00:00,2025-03-03T17:27:21+00:00
143721,73010000002,50000000.00,11,2025,2025-03-12T11:06:36+00:00,2025-03-12T11:06:36+00:00
148202,73010000002,50000000.00,13,2025,2025-03-26T16:31:39+00:00,2025-03-26T16:31:39+00:00
152732,73010000002,50000000.00,15,2025,2025-04-09T13:40:27+00:00,2025-04-09T13:40:27+00:00
157221,73010000002,50000000.00,17,2025,2025-04-23T12:09:25+00:00,2025-04-23T12:09:25+00:00
161699,73010000002,50000000.00,19,2025,2025-05-07T13:08:34+00:00,2025-05-07T13:08:34+00:00
166213,73010000002,50000000.00,21,2025,2025-05-21T19:52:22+00:00,2025-05-21T19:52:22+00:00
166214,73010000002,50000000.00,23,2025,2025-06-04T11:23:47+00:00,2025-06-04T11:23:47+00:00
166215,73010000002,50000000.00,25,2025,2025-06-18T11:58:58+00:00,2025-06-18T11:58:58+00:00
