id,item_id,price,week,year,date_created,date_updated
16625,73009000200,200000000.00,15,2024,2024-04-10T12:46:39+00:00,2024-04-10T12:46:39+00:00
20834,73009000200,200000000.00,16,2024,2024-04-17T11:30:01+00:00,2024-04-17T11:30:01+00:00
24999,73009000200,200000000.00,17,2024,2024-04-24T19:30:24+00:00,2024-04-24T19:30:24+00:00
29174,73009000200,200000000.00,18,2024,2024-05-01T10:44:14+00:00,2024-05-01T10:44:14+00:00
33312,73009000200,200000000.00,19,2024,2024-05-08T18:05:33+00:00,2024-05-08T18:05:33+00:00
37452,73009000200,200000000.00,20,2024,2024-05-15T18:22:14+00:00,2024-05-15T18:22:14+00:00
58288,73009000200,199999999.00,25,2024,2024-06-19T19:44:56+00:00,2024-06-19T19:44:56+00:00
62445,73009000200,199999999.00,26,2024,2024-06-26T13:27:14+00:00,2024-06-26T13:27:14+00:00
66617,73009000200,199999999.83,27,2024,2024-07-05T19:32:35+00:00,2024-07-05T19:32:35+00:00
70795,73009000200,199999999.83,28,2024,2024-07-11T08:58:16+00:00,2024-07-11T08:58:16+00:00
87833,73009000200,200000000.00,35,2024,2024-08-30T14:18:02+00:00,2024-08-30T14:18:02+00:00
92167,73009000200,200000000.00,37,2024,2024-09-11T14:24:53+00:00,2024-09-11T14:24:53+00:00
96486,73009000200,200000000.00,38,2024,2024-09-18T15:02:58+00:00,2024-09-18T15:02:58+00:00
100790,73009000200,200000000.00,39,2024,2024-09-25T12:14:22+00:00,2024-09-25T12:14:22+00:00
105034,73009000200,200000000.00,41,2024,2024-10-11T17:10:53+00:00,2024-10-11T17:10:53+00:00
117737,73009000200,200000000.00,50,2024,2024-12-11T16:53:19+00:00,2024-12-11T16:53:19+00:00
143717,73009000200,100000001.00,11,2025,2025-03-12T11:06:36+00:00,2025-03-12T11:06:36+00:00
148198,73009000200,199206349.21,13,2025,2025-03-26T16:31:38+00:00,2025-03-26T16:31:38+00:00
157218,73009000200,200000000.00,17,2025,2025-04-23T12:09:25+00:00,2025-04-23T12:09:25+00:00
157219,73009000200,750000000.00,30,2025,2025-07-23T20:43:05+00:00,2025-07-23T20:43:05+00:00
157220,73009000200,750000000.00,32,2025,2025-08-06T13:32:10+00:00,2025-08-06T13:32:10+00:00
