id,item_id,price,week,year,date_created,date_updated
2575,74021000002,8750000.00,11,2024,2024-03-17T14:19:39+00:00,2024-03-17T14:19:39+00:00
8055,74021000002,8750000.00,13,2024,2024-03-25T15:25:37+00:00,2024-03-27T11:14:56+00:00
12423,74021000002,8750000.00,14,2024,2024-04-03T10:46:47+00:00,2024-04-03T10:46:47+00:00
16647,74021000002,8750000.00,15,2024,2024-04-10T12:46:40+00:00,2024-04-10T12:46:40+00:00
20856,74021000002,8750000.00,16,2024,2024-04-17T11:30:03+00:00,2024-04-17T11:30:03+00:00
25021,74021000002,8750000.00,17,2024,2024-04-24T19:30:26+00:00,2024-04-24T19:30:26+00:00
29196,74021000002,8750000.00,18,2024,2024-05-01T10:44:16+00:00,2024-05-01T10:44:16+00:00
33331,74021000002,8745454.45,19,2024,2024-05-08T18:05:34+00:00,2024-05-08T18:05:34+00:00
37471,74021000002,8745454.45,20,2024,2024-05-15T18:22:16+00:00,2024-05-15T18:22:16+00:00
49978,74021000002,8750000.00,23,2024,2024-06-06T20:48:43+00:00,2024-06-06T20:48:43+00:00
54146,74021000002,8750000.00,24,2024,2024-06-14T11:01:35+00:00,2024-06-14T11:01:35+00:00
66635,74021000002,8750000.00,27,2024,2024-07-05T19:32:36+00:00,2024-07-05T19:32:36+00:00
70813,74021000002,8750000.00,28,2024,2024-07-11T08:58:17+00:00,2024-07-11T08:58:17+00:00
75059,74021000002,8750000.00,29,2024,2024-07-21T13:30:37+00:00,2024-07-21T13:30:37+00:00
79325,74021000002,8750000.00,30,2024,2024-07-26T16:30:58+00:00,2024-07-26T16:30:58+00:00
83545,74021000002,8750000.00,32,2024,2024-08-07T20:21:09+00:00,2024-08-09T14:33:52+00:00
87861,74021000002,8711538.31,35,2024,2024-08-30T14:18:05+00:00,2024-08-30T14:18:05+00:00
92196,74021000002,8750000.00,37,2024,2024-09-11T14:24:56+00:00,2024-09-11T14:24:56+00:00
96515,74021000002,8750000.00,38,2024,2024-09-18T15:03:01+00:00,2024-09-18T15:03:01+00:00
100815,74021000002,8749888.89,39,2024,2024-09-25T12:14:24+00:00,2024-09-25T12:14:24+00:00
105061,74021000002,8750000.00,41,2024,2024-10-11T17:10:56+00:00,2024-10-11T17:10:56+00:00
126192,74021000002,8750000.00,1,2025,2025-01-01T20:14:40+00:00,2025-01-01T20:14:40+00:00
130463,74021000002,8750000.00,3,2025,2025-01-15T21:10:11+00:00,2025-01-15T21:10:11+00:00
134738,74021000002,8750000.00,6,2025,2025-02-04T20:28:21+00:00,2025-02-04T20:28:21+00:00
139225,74021000002,8749999.64,10,2025,2025-03-03T17:27:23+00:00,2025-03-03T17:27:23+00:00
143749,74021000002,8750000.00,11,2025,2025-03-12T11:06:39+00:00,2025-03-12T11:06:39+00:00
148232,74021000002,8750000.00,13,2025,2025-03-26T16:31:42+00:00,2025-03-26T16:31:42+00:00
152760,74021000002,8750000.00,15,2025,2025-04-09T13:40:30+00:00,2025-04-09T13:40:30+00:00
161725,74021000002,8750000.00,19,2025,2025-05-07T13:08:36+00:00,2025-05-07T13:08:36+00:00
170667,74021000002,8750000.00,23,2025,2025-06-04T11:23:50+00:00,2025-06-04T11:23:50+00:00
175180,74021000002,8750000.00,25,2025,2025-06-18T11:59:01+00:00,2025-06-18T11:59:01+00:00
179682,74021000002,8750000.00,26,2025,2025-06-25T17:30:29+00:00,2025-06-25T17:30:29+00:00
179683,74021000002,8750000.00,36,2025,2025-09-02T09:21:34+00:00,2025-09-02T09:21:34+00:00
179684,74021000002,8750000.00,37,2025,2025-09-10T22:01:35+00:00,2025-09-10T22:01:35+00:00
179685,74021000002,8750000.00,39,2025,2025-09-24T16:20:41+00:00,2025-09-24T16:20:41+00:00
179686,74021000002,8750000.00,43,2025,2025-10-22T17:36:48+00:00,2025-10-22T17:36:48+00:00
