id,item_id,price,week,year,date_created,date_updated
2036,78010002022,57761333.12,11,2024,2024-03-17T14:19:16+00:00,2024-03-17T14:19:16+00:00
8118,78010002022,83333333.00,13,2024,2024-03-25T15:25:42+00:00,2024-03-27T11:14:59+00:00
12486,78010002022,83333333.00,14,2024,2024-04-03T10:46:51+00:00,2024-04-03T10:46:51+00:00
16710,78010002022,44166665.95,15,2024,2024-04-10T12:46:44+00:00,2024-04-10T12:46:44+00:00
20919,78010002022,44166665.95,16,2024,2024-04-17T11:30:07+00:00,2024-04-17T11:30:07+00:00
25084,78010002022,38823528.65,17,2024,2024-04-24T19:30:30+00:00,2024-04-24T19:30:30+00:00
29259,78010002022,38823528.65,18,2024,2024-05-01T10:44:20+00:00,2024-05-01T10:44:20+00:00
33394,78010002022,45444443.72,19,2024,2024-05-08T18:05:38+00:00,2024-05-08T18:05:38+00:00
37534,78010002022,45444443.72,20,2024,2024-05-15T18:22:20+00:00,2024-05-15T18:22:20+00:00
41718,78010002022,108181817.82,21,2024,2024-05-22T14:14:16+00:00,2024-05-22T14:14:16+00:00
45874,78010002022,108181817.82,22,2024,2024-05-30T22:18:34+00:00,2024-05-30T22:18:34+00:00
50042,78010002022,62647058.82,23,2024,2024-06-06T20:48:47+00:00,2024-06-06T20:48:47+00:00
54210,78010002022,62647058.82,24,2024,2024-06-14T11:01:40+00:00,2024-06-14T11:01:40+00:00
58372,78010002022,98235293.88,25,2024,2024-06-19T19:45:02+00:00,2024-06-19T19:45:02+00:00
62529,78010002022,98235293.88,26,2024,2024-06-26T13:27:20+00:00,2024-06-26T13:27:20+00:00
66699,78010002022,81428571.43,27,2024,2024-07-05T19:32:41+00:00,2024-07-05T19:32:41+00:00
70877,78010002022,81428571.43,28,2024,2024-07-11T08:58:21+00:00,2024-07-11T08:58:21+00:00
75124,78010002022,62155555.53,29,2024,2024-07-21T13:30:42+00:00,2024-07-21T13:30:42+00:00
79390,78010002022,62155555.53,30,2024,2024-07-26T16:31:03+00:00,2024-07-26T16:31:03+00:00
83608,78010002022,80260683.38,32,2024,2024-08-07T20:21:14+00:00,2024-08-09T14:33:57+00:00
87925,78010002022,51428571.43,35,2024,2024-08-30T14:18:10+00:00,2024-08-30T14:18:10+00:00
92267,78010002022,63619047.62,37,2024,2024-09-11T14:25:01+00:00,2024-09-11T14:25:01+00:00
96586,78010002022,63619047.62,38,2024,2024-09-18T15:03:06+00:00,2024-09-18T15:03:06+00:00
100889,78010002022,56631578.63,39,2024,2024-09-25T12:14:30+00:00,2024-09-25T12:14:30+00:00
105132,78010002022,79090908.82,41,2024,2024-10-11T17:11:07+00:00,2024-10-11T17:11:07+00:00
109410,78010002022,68333333.33,44,2024,2024-11-03T16:48:18+00:00,2024-11-03T16:48:18+00:00
113635,78010002022,59777776.89,47,2024,2024-11-20T11:42:37+00:00,2024-11-20T11:42:37+00:00
117838,78010002022,52666664.00,50,2024,2024-12-11T16:53:29+00:00,2024-12-11T16:53:29+00:00
122103,78010002022,45841176.06,51,2024,2024-12-18T12:37:18+00:00,2024-12-18T12:37:18+00:00
126267,78010002022,43040000.00,1,2025,2025-01-01T20:14:48+00:00,2025-01-01T20:14:48+00:00
130540,78010002022,45210525.95,3,2025,2025-01-15T21:10:26+00:00,2025-01-15T21:10:26+00:00
134815,78010002022,45210525.95,6,2025,2025-02-04T20:28:39+00:00,2025-02-04T20:28:39+00:00
139302,78010002022,9351281.62,10,2025,2025-03-03T17:27:32+00:00,2025-03-03T17:27:32+00:00
143826,78010002022,14916666.40,11,2025,2025-03-12T11:06:47+00:00,2025-03-12T11:06:47+00:00
148310,78010002022,16304347.57,13,2025,2025-03-26T16:31:50+00:00,2025-03-26T16:31:50+00:00
152838,78010002022,41315789.47,15,2025,2025-04-09T13:40:37+00:00,2025-04-09T13:40:37+00:00
157325,78010002022,30416666.25,17,2025,2025-04-23T12:09:35+00:00,2025-04-23T12:09:35+00:00
161802,78010002022,21041666.00,19,2025,2025-05-07T13:08:44+00:00,2025-05-07T13:08:44+00:00
166317,78010002022,26944443.58,21,2025,2025-05-21T19:52:33+00:00,2025-05-21T19:52:33+00:00
166318,78010002022,19144443.58,23,2025,2025-06-04T11:23:58+00:00,2025-06-04T11:23:58+00:00
166319,78010002022,15695237.71,25,2025,2025-06-18T11:59:09+00:00,2025-06-18T11:59:09+00:00
166320,78010002022,10000000.00,26,2025,2025-06-25T17:30:37+00:00,2025-06-25T17:30:37+00:00
166321,78010002022,7647058.82,28,2025,2025-07-09T13:12:57+00:00,2025-07-09T13:12:57+00:00
166322,78010002022,3392857.14,30,2025,2025-07-23T20:43:15+00:00,2025-07-23T20:43:15+00:00
166323,78010002022,3392857.14,32,2025,2025-08-06T13:32:21+00:00,2025-08-06T13:32:21+00:00
