id,item_id,price,week,year,date_created,date_updated
3755,28015000001,2474795.67,11,2024,2024-03-17T14:20:47+00:00,2024-03-17T14:20:47+00:00
6872,28015000001,2504317.18,13,2024,2024-03-25T15:24:30+00:00,2024-03-27T11:13:55+00:00
11257,28015000001,2504317.18,14,2024,2024-04-03T10:45:39+00:00,2024-04-03T10:45:39+00:00
15428,28015000001,2749177.44,15,2024,2024-04-10T12:45:26+00:00,2024-04-10T12:45:26+00:00
19637,28015000001,2749177.44,16,2024,2024-04-17T11:28:47+00:00,2024-04-17T11:28:47+00:00
23807,28015000001,2934492.11,17,2024,2024-04-24T19:29:13+00:00,2024-04-24T19:29:13+00:00
27982,28015000001,2934492.11,18,2024,2024-05-01T10:43:05+00:00,2024-05-01T10:43:05+00:00
32128,28015000001,3002352.94,19,2024,2024-05-08T18:04:27+00:00,2024-05-08T18:04:27+00:00
36268,28015000001,3002352.94,20,2024,2024-05-15T18:21:07+00:00,2024-05-15T18:21:07+00:00
40428,28015000001,3232824.62,21,2024,2024-05-22T14:13:01+00:00,2024-05-22T14:13:01+00:00
44584,28015000001,3232824.62,22,2024,2024-05-30T22:17:16+00:00,2024-05-30T22:17:16+00:00
48771,28015000001,3304132.09,23,2024,2024-06-06T20:47:29+00:00,2024-06-06T20:47:29+00:00
52939,28015000001,3304132.09,24,2024,2024-06-14T11:00:14+00:00,2024-06-14T11:00:14+00:00
57083,28015000001,3230906.71,25,2024,2024-06-19T19:43:45+00:00,2024-06-19T19:43:45+00:00
61240,28015000001,3230906.71,26,2024,2024-06-26T13:25:56+00:00,2024-06-26T13:25:56+00:00
65410,28015000001,2836104.75,27,2024,2024-07-05T19:31:20+00:00,2024-07-05T19:31:20+00:00
69588,28015000001,2836104.75,28,2024,2024-07-11T08:57:01+00:00,2024-07-11T08:57:01+00:00
73819,28015000001,2909217.07,29,2024,2024-07-21T13:29:18+00:00,2024-07-21T13:29:18+00:00
78085,28015000001,2909217.07,30,2024,2024-07-26T16:29:36+00:00,2024-07-26T16:29:36+00:00
82302,28015000001,3144445.53,32,2024,2024-08-07T20:19:49+00:00,2024-08-09T14:32:32+00:00
86600,28015000001,3734494.79,35,2024,2024-08-30T14:16:42+00:00,2024-08-30T14:16:42+00:00
90939,28015000001,3811035.67,37,2024,2024-09-11T14:23:32+00:00,2024-09-11T14:23:32+00:00
95258,28015000001,3811035.67,38,2024,2024-09-18T15:01:38+00:00,2024-09-18T15:01:38+00:00
99563,28015000001,4130796.24,39,2024,2024-09-25T12:12:59+00:00,2024-09-25T12:12:59+00:00
103813,28015000001,4209165.54,41,2024,2024-10-11T17:08:27+00:00,2024-10-11T17:08:27+00:00
108089,28015000001,3807866.18,44,2024,2024-11-03T16:46:23+00:00,2024-11-03T16:46:23+00:00
112314,28015000001,3874303.21,47,2024,2024-11-20T11:40:37+00:00,2024-11-20T11:40:37+00:00
116507,28015000001,4071349.70,50,2024,2024-12-11T16:51:18+00:00,2024-12-11T16:51:18+00:00
120783,28015000001,3992186.82,51,2024,2024-12-18T12:35:17+00:00,2024-12-18T12:35:17+00:00
124986,28015000001,3961476.73,1,2025,2025-01-01T20:12:54+00:00,2025-01-01T20:12:54+00:00
129180,28015000001,4425996.59,3,2025,2025-01-15T21:07:51+00:00,2025-01-15T21:07:51+00:00
133455,28015000001,4425996.59,6,2025,2025-02-04T20:24:25+00:00,2025-02-04T20:24:25+00:00
137874,28015000001,4029938.08,10,2025,2025-03-03T17:25:20+00:00,2025-03-03T17:25:20+00:00
142402,28015000001,4371481.54,11,2025,2025-03-12T11:04:29+00:00,2025-03-12T11:04:29+00:00
146910,28015000001,4440200.73,13,2025,2025-03-26T16:29:40+00:00,2025-03-26T16:29:40+00:00
151432,28015000001,4935244.73,15,2025,2025-04-09T13:37:51+00:00,2025-04-09T13:37:51+00:00
155957,28015000001,4758798.82,17,2025,2025-04-23T12:07:34+00:00,2025-04-23T12:07:34+00:00
160415,28015000001,5025813.80,19,2025,2025-05-07T13:06:42+00:00,2025-05-07T13:06:42+00:00
164895,28015000001,5047908.94,21,2025,2025-05-21T19:50:23+00:00,2025-05-21T19:50:23+00:00
169392,28015000001,4732893.62,23,2025,2025-06-04T11:21:49+00:00,2025-06-04T11:21:49+00:00
173872,28015000001,5412867.52,25,2025,2025-06-18T11:57:03+00:00,2025-06-18T11:57:03+00:00
178421,28015000001,5696897.14,26,2025,2025-06-25T17:28:36+00:00,2025-06-25T17:28:36+00:00
182869,28015000001,5564007.44,28,2025,2025-07-09T13:08:45+00:00,2025-07-09T13:08:45+00:00
187313,28015000001,4469478.00,30,2025,2025-07-23T20:41:09+00:00,2025-07-23T20:41:09+00:00
191717,28015000001,4469478.00,32,2025,2025-08-06T13:30:19+00:00,2025-08-06T13:30:19+00:00
191718,28015000001,4501476.52,36,2025,2025-09-02T09:19:37+00:00,2025-09-02T09:19:37+00:00
191719,28015000001,4505989.06,37,2025,2025-09-10T21:58:55+00:00,2025-09-10T21:58:55+00:00
191720,28015000001,4563662.72,39,2025,2025-09-24T16:18:50+00:00,2025-09-24T16:18:50+00:00
191721,28015000001,4968234.83,43,2025,2025-10-22T17:35:11+00:00,2025-10-22T17:35:11+00:00
191722,28015000001,5338054.90,51,2025,2025-12-20T14:25:22+00:00,2025-12-20T14:25:22+00:00
