id,item_id,price,week,year,date_created,date_updated
82314,28015000014,4600003.00,32,2024,2024-08-07T20:19:50+00:00,2024-08-09T14:32:32+00:00
86613,28015000014,5491893.26,35,2024,2024-08-30T14:16:43+00:00,2024-08-30T14:16:43+00:00
90952,28015000014,5686910.20,37,2024,2024-09-11T14:23:33+00:00,2024-09-11T14:23:33+00:00
95271,28015000014,5686910.20,38,2024,2024-09-18T15:01:39+00:00,2024-09-18T15:01:39+00:00
99576,28015000014,5685432.47,39,2024,2024-09-25T12:13:00+00:00,2024-09-25T12:13:00+00:00
103826,28015000014,4567707.57,41,2024,2024-10-11T17:08:28+00:00,2024-10-11T17:08:28+00:00
108102,28015000014,6384993.74,44,2024,2024-11-03T16:46:24+00:00,2024-11-03T16:46:24+00:00
112327,28015000014,11511210.14,47,2024,2024-11-20T11:40:38+00:00,2024-11-20T11:40:38+00:00
116519,28015000014,22195804.20,50,2024,2024-12-11T16:51:19+00:00,2024-12-11T16:51:19+00:00
120795,28015000014,12986767.20,51,2024,2024-12-18T12:35:18+00:00,2024-12-18T12:35:18+00:00
124999,28015000014,7824173.08,1,2025,2025-01-01T20:12:55+00:00,2025-01-01T20:12:55+00:00
129193,28015000014,20876195.21,3,2025,2025-01-15T21:07:52+00:00,2025-01-15T21:07:52+00:00
133468,28015000014,20876195.21,6,2025,2025-02-04T20:24:26+00:00,2025-02-04T20:24:26+00:00
137887,28015000014,13988478.26,10,2025,2025-03-03T17:25:21+00:00,2025-03-03T17:25:21+00:00
142415,28015000014,24259259.20,11,2025,2025-03-12T11:04:31+00:00,2025-03-12T11:04:31+00:00
146922,28015000014,14199233.45,13,2025,2025-03-26T16:29:41+00:00,2025-03-26T16:29:41+00:00
151444,28015000014,11858108.11,15,2025,2025-04-09T13:37:52+00:00,2025-04-09T13:37:52+00:00
155969,28015000014,23109589.04,17,2025,2025-04-23T12:07:35+00:00,2025-04-23T12:07:35+00:00
160427,28015000014,8445971.71,19,2025,2025-05-07T13:06:43+00:00,2025-05-07T13:06:43+00:00
164906,28015000014,4310388.93,21,2025,2025-05-21T19:50:24+00:00,2025-05-21T19:50:24+00:00
