id,item_id,price,week,year,date_created,date_updated
2446,28010001009,466742477.78,11,2024,2024-03-17T14:19:33+00:00,2024-03-17T14:19:33+00:00
6822,28010001009,394001421.18,13,2024,2024-03-25T15:24:26+00:00,2024-03-27T11:13:53+00:00
11213,28010001009,394001421.18,14,2024,2024-04-03T10:45:37+00:00,2024-04-03T10:45:37+00:00
15381,28010001009,446174461.54,15,2024,2024-04-10T12:45:23+00:00,2024-04-10T12:45:23+00:00
19590,28010001009,446174461.54,16,2024,2024-04-17T11:28:45+00:00,2024-04-17T11:28:45+00:00
23756,28010001009,406711333.33,17,2024,2024-04-24T19:29:11+00:00,2024-04-24T19:29:11+00:00
27931,28010001009,406711333.33,18,2024,2024-05-01T10:43:02+00:00,2024-05-01T10:43:02+00:00
32074,28010001009,472727272.73,19,2024,2024-05-08T18:04:25+00:00,2024-05-08T18:04:25+00:00
36214,28010001009,472727272.73,20,2024,2024-05-15T18:21:05+00:00,2024-05-15T18:21:05+00:00
40380,28010001009,633333333.33,21,2024,2024-05-22T14:12:58+00:00,2024-05-22T14:12:58+00:00
44536,28010001009,633333333.33,22,2024,2024-05-30T22:17:13+00:00,2024-05-30T22:17:13+00:00
48725,28010001009,850000000.00,23,2024,2024-06-06T20:47:27+00:00,2024-06-06T20:47:27+00:00
52893,28010001009,850000000.00,24,2024,2024-06-14T11:00:11+00:00,2024-06-14T11:00:11+00:00
57027,28010001009,870000000.00,25,2024,2024-06-19T19:43:42+00:00,2024-06-19T19:43:42+00:00
61184,28010001009,870000000.00,26,2024,2024-06-26T13:25:53+00:00,2024-06-26T13:25:53+00:00
73769,28010001009,1337499999.50,29,2024,2024-07-21T13:29:15+00:00,2024-07-21T13:29:15+00:00
78035,28010001009,1337499999.50,30,2024,2024-07-26T16:29:33+00:00,2024-07-26T16:29:33+00:00
86559,28010001009,1145000000.00,35,2024,2024-08-30T14:16:40+00:00,2024-08-30T14:16:40+00:00
112280,28010001009,8888888888.00,47,2024,2024-11-20T11:40:34+00:00,2024-11-20T11:40:34+00:00
124949,28010001009,3724999997.50,1,2025,2025-01-01T20:12:51+00:00,2025-01-01T20:12:51+00:00
151395,28010001009,4499999999.00,15,2025,2025-04-09T13:37:47+00:00,2025-04-09T13:37:47+00:00
160381,28010001009,2999999999.00,19,2025,2025-05-07T13:06:39+00:00,2025-05-07T13:06:39+00:00
