id,item_id,price,week,year,date_created,date_updated
2460,28010001023,1419846153.62,11,2024,2024-03-17T14:19:34+00:00,2024-03-17T14:19:34+00:00
6835,28010001023,1440461538.46,13,2024,2024-03-25T15:24:27+00:00,2024-03-27T11:13:53+00:00
11227,28010001023,1440461538.46,14,2024,2024-04-03T10:45:38+00:00,2024-04-03T10:45:38+00:00
15395,28010001023,1474687499.69,15,2024,2024-04-10T12:45:24+00:00,2024-04-10T12:45:24+00:00
19604,28010001023,1474687499.69,16,2024,2024-04-17T11:28:45+00:00,2024-04-17T11:28:45+00:00
23770,28010001023,1421428571.43,17,2024,2024-04-24T19:29:11+00:00,2024-04-24T19:29:11+00:00
27945,28010001023,1421428571.43,18,2024,2024-05-01T10:43:03+00:00,2024-05-01T10:43:03+00:00
32086,28010001023,1119999999.67,19,2024,2024-05-08T18:04:25+00:00,2024-05-08T18:04:25+00:00
36226,28010001023,1119999999.67,20,2024,2024-05-15T18:21:05+00:00,2024-05-15T18:21:05+00:00
40391,28010001023,1608333332.67,21,2024,2024-05-22T14:12:59+00:00,2024-05-22T14:12:59+00:00
44547,28010001023,1608333332.67,22,2024,2024-05-30T22:17:14+00:00,2024-05-30T22:17:14+00:00
48735,28010001023,1909999999.40,23,2024,2024-06-06T20:47:28+00:00,2024-06-06T20:47:28+00:00
52903,28010001023,1909999999.40,24,2024,2024-06-14T11:00:12+00:00,2024-06-14T11:00:12+00:00
57036,28010001023,1787500000.00,25,2024,2024-06-19T19:43:43+00:00,2024-06-19T19:43:43+00:00
61193,28010001023,1787500000.00,26,2024,2024-06-26T13:25:53+00:00,2024-06-26T13:25:53+00:00
65380,28010001023,2540000000.00,27,2024,2024-07-05T19:31:19+00:00,2024-07-05T19:31:19+00:00
69558,28010001023,2540000000.00,28,2024,2024-07-11T08:56:59+00:00,2024-07-11T08:56:59+00:00
73776,28010001023,2849999999.80,29,2024,2024-07-21T13:29:15+00:00,2024-07-21T13:29:15+00:00
78042,28010001023,2849999999.80,30,2024,2024-07-26T16:29:34+00:00,2024-07-26T16:29:34+00:00
82268,28010001023,2728571428.57,32,2024,2024-08-07T20:19:48+00:00,2024-08-09T14:32:30+00:00
120752,28010001023,3022333333.33,51,2024,2024-12-18T12:35:14+00:00,2024-12-18T12:35:14+00:00
129148,28010001023,2100000000.00,3,2025,2025-01-15T21:07:49+00:00,2025-01-15T21:07:49+00:00
133423,28010001023,2100000000.00,6,2025,2025-02-04T20:24:21+00:00,2025-02-04T20:24:21+00:00
133424,28010001023,7400000000.00,25,2025,2025-06-18T11:57:01+00:00,2025-06-18T11:57:01+00:00
