id,item_id,price,week,year,date_created,date_updated
3024,28010002033,10999999999.00,11,2024,2024-03-17T14:20:02+00:00,2024-03-17T14:20:02+00:00
6867,28010002033,10999999999.00,13,2024,2024-03-25T15:24:29+00:00,2024-03-25T15:24:29+00:00
57076,28010002033,9000000000.00,25,2024,2024-06-19T19:43:45+00:00,2024-06-19T19:43:45+00:00
61233,28010002033,9000000000.00,26,2024,2024-06-26T13:25:55+00:00,2024-06-26T13:25:55+00:00
73812,28010002033,9266666666.67,29,2024,2024-07-21T13:29:17+00:00,2024-07-21T13:29:17+00:00
78078,28010002033,9266666666.67,30,2024,2024-07-26T16:29:36+00:00,2024-07-26T16:29:36+00:00
82294,28010002033,7974999970.50,32,2024,2024-08-07T20:19:49+00:00,2024-08-09T14:32:31+00:00
86593,28010002033,9500000000.00,35,2024,2024-08-30T14:16:42+00:00,2024-08-30T14:16:42+00:00
99555,28010002033,8500000000.00,39,2024,2024-09-25T12:12:58+00:00,2024-09-25T12:12:58+00:00
108079,28010002033,8499999970.50,44,2024,2024-11-03T16:46:22+00:00,2024-11-03T16:46:22+00:00
116498,28010002033,7075000000.00,50,2024,2024-12-11T16:51:17+00:00,2024-12-11T16:51:17+00:00
129175,28010002033,6899999941.00,3,2025,2025-01-15T21:07:51+00:00,2025-01-15T21:07:51+00:00
133450,28010002033,6899999941.00,6,2025,2025-02-04T20:24:24+00:00,2025-02-04T20:24:24+00:00
146902,28010002033,6500000000.00,13,2025,2025-03-26T16:29:40+00:00,2025-03-26T16:29:40+00:00
164887,28010002033,7000000000.00,21,2025,2025-05-21T19:50:23+00:00,2025-05-21T19:50:23+00:00
173868,28010002033,12449999941.00,25,2025,2025-06-18T11:57:03+00:00,2025-06-18T11:57:03+00:00
187305,28010002033,6800000000.00,30,2025,2025-07-23T20:41:08+00:00,2025-07-23T20:41:08+00:00
191709,28010002033,6800000000.00,32,2025,2025-08-06T13:30:19+00:00,2025-08-06T13:30:19+00:00
191710,28010002033,5850000000.00,37,2025,2025-09-10T21:58:53+00:00,2025-09-10T21:58:53+00:00
191711,28010002033,3400000000.00,47,2025,2025-11-23T11:34:17+00:00,2025-11-23T11:34:17+00:00
