id,item_id,price,week,year,date_created,date_updated
3105,28010002039,16749999941.00,11,2024,2024-03-17T14:20:07+00:00,2024-03-17T14:20:07+00:00
8535,28010002039,17166666607.67,13,2024,2024-03-27T11:13:55+00:00,2024-03-27T11:13:55+00:00
11255,28010002039,17166666607.67,14,2024,2024-04-03T10:45:39+00:00,2024-04-03T10:45:39+00:00
32126,28010002039,24499999941.00,19,2024,2024-05-08T18:04:27+00:00,2024-05-08T18:04:27+00:00
36266,28010002039,24499999941.00,20,2024,2024-05-15T18:21:07+00:00,2024-05-15T18:21:07+00:00
73817,28010002039,13393955000.00,29,2024,2024-07-21T13:29:18+00:00,2024-07-21T13:29:18+00:00
78083,28010002039,13393955000.00,30,2024,2024-07-26T16:29:36+00:00,2024-07-26T16:29:36+00:00
82299,28010002039,15632000000.00,32,2024,2024-08-07T20:19:49+00:00,2024-08-09T14:32:31+00:00
86598,28010002039,11999999970.50,35,2024,2024-08-30T14:16:42+00:00,2024-08-30T14:16:42+00:00
90937,28010002039,12250000000.00,37,2024,2024-09-11T14:23:32+00:00,2024-09-11T14:23:32+00:00
95256,28010002039,12250000000.00,38,2024,2024-09-18T15:01:38+00:00,2024-09-18T15:01:38+00:00
99560,28010002039,12540000000.00,39,2024,2024-09-25T12:12:59+00:00,2024-09-25T12:12:59+00:00
103808,28010002039,12040000000.00,41,2024,2024-10-11T17:08:26+00:00,2024-10-11T17:08:26+00:00
108085,28010002039,11124250000.00,44,2024,2024-11-03T16:46:23+00:00,2024-11-03T16:46:23+00:00
112312,28010002039,12445500000.00,47,2024,2024-11-20T11:40:37+00:00,2024-11-20T11:40:37+00:00
116503,28010002039,12551500000.00,50,2024,2024-12-11T16:51:17+00:00,2024-12-11T16:51:17+00:00
120782,28010002039,9374722221.50,51,2024,2024-12-18T12:35:17+00:00,2024-12-18T12:35:17+00:00
124984,28010002039,10699999999.20,1,2025,2025-01-01T20:12:53+00:00,2025-01-01T20:12:53+00:00
137871,28010002039,9999999999.00,10,2025,2025-03-03T17:25:19+00:00,2025-03-03T17:25:19+00:00
142399,28010002039,9499999999.50,11,2025,2025-03-12T11:04:29+00:00,2025-03-12T11:04:29+00:00
146908,28010002039,10495000000.00,13,2025,2025-03-26T16:29:40+00:00,2025-03-26T16:29:40+00:00
151431,28010002039,12162966666.67,15,2025,2025-04-09T13:37:51+00:00,2025-04-09T13:37:51+00:00
155955,28010002039,9874972500.00,17,2025,2025-04-23T12:07:34+00:00,2025-04-23T12:07:34+00:00
164893,28010002039,10446750000.00,21,2025,2025-05-21T19:50:23+00:00,2025-05-21T19:50:23+00:00
169389,28010002039,10147200000.00,23,2025,2025-06-04T11:21:49+00:00,2025-06-04T11:21:49+00:00
178420,28010002039,8199200000.00,26,2025,2025-06-25T17:28:36+00:00,2025-06-25T17:28:36+00:00
187311,28010002039,9099000000.00,30,2025,2025-07-23T20:41:09+00:00,2025-07-23T20:41:09+00:00
191715,28010002039,9099000000.00,32,2025,2025-08-06T13:30:19+00:00,2025-08-06T13:30:19+00:00
191716,28010002039,7642657142.86,36,2025,2025-09-02T09:19:37+00:00,2025-09-02T09:19:37+00:00
191717,28010002039,8999000000.00,37,2025,2025-09-10T21:58:54+00:00,2025-09-10T21:58:54+00:00
191718,28010002039,6999450000.00,39,2025,2025-09-24T16:18:50+00:00,2025-09-24T16:18:50+00:00
