id,item_id,price,week,year,date_created,date_updated
2531,28009100008,16861864.41,11,2024,2024-03-17T14:19:37+00:00,2024-03-17T14:19:37+00:00
6790,28009100008,19442857.14,13,2024,2024-03-25T15:24:25+00:00,2024-03-25T15:24:25+00:00
15351,28009100008,17500000.00,15,2024,2024-04-10T12:45:22+00:00,2024-04-10T12:45:22+00:00
19560,28009100008,17500000.00,16,2024,2024-04-17T11:28:43+00:00,2024-04-17T11:28:43+00:00
23725,28009100008,15095693.78,17,2024,2024-04-24T19:29:09+00:00,2024-04-24T19:29:09+00:00
27900,28009100008,15095693.78,18,2024,2024-05-01T10:43:01+00:00,2024-05-01T10:43:01+00:00
32042,28009100008,12640845.07,19,2024,2024-05-08T18:04:23+00:00,2024-05-08T18:04:23+00:00
36182,28009100008,12640845.07,20,2024,2024-05-15T18:21:03+00:00,2024-05-15T18:21:03+00:00
40348,28009100008,17371134.02,21,2024,2024-05-22T14:12:57+00:00,2024-05-22T14:12:57+00:00
44504,28009100008,17371134.02,22,2024,2024-05-30T22:17:12+00:00,2024-05-30T22:17:12+00:00
48699,28009100008,22199999.70,23,2024,2024-06-06T20:47:26+00:00,2024-06-06T20:47:26+00:00
52867,28009100008,22199999.70,24,2024,2024-06-14T11:00:10+00:00,2024-06-14T11:00:10+00:00
90876,28009100008,32500000.00,37,2024,2024-09-11T14:23:29+00:00,2024-09-11T14:23:29+00:00
95195,28009100008,32500000.00,38,2024,2024-09-18T15:01:35+00:00,2024-09-18T15:01:35+00:00
99505,28009100008,77380952.33,39,2024,2024-09-25T12:12:56+00:00,2024-09-25T12:12:56+00:00
108033,28009100008,20000000.00,44,2024,2024-11-03T16:46:19+00:00,2024-11-03T16:46:19+00:00
112260,28009100008,31021428.50,47,2024,2024-11-20T11:40:33+00:00,2024-11-20T11:40:33+00:00
116449,28009100008,29523809.33,50,2024,2024-12-11T16:51:13+00:00,2024-12-11T16:51:13+00:00
120727,28009100008,26670538.91,51,2024,2024-12-18T12:35:12+00:00,2024-12-18T12:35:12+00:00
129122,28009100008,30714285.50,3,2025,2025-01-15T21:07:47+00:00,2025-01-15T21:07:47+00:00
133397,28009100008,30714285.50,6,2025,2025-02-04T20:24:19+00:00,2025-02-04T20:24:19+00:00
137820,28009100008,16816264.15,10,2025,2025-03-03T17:25:15+00:00,2025-03-03T17:25:15+00:00
142349,28009100008,42019704.34,11,2025,2025-03-12T11:04:25+00:00,2025-03-12T11:04:25+00:00
155899,28009100008,79000000.00,17,2025,2025-04-23T12:07:29+00:00,2025-04-23T12:07:29+00:00
164843,28009100008,2429500.00,21,2025,2025-05-21T19:50:19+00:00,2025-05-21T19:50:19+00:00
164844,28009100008,49650000.00,25,2025,2025-06-18T11:56:59+00:00,2025-06-18T11:56:59+00:00
