id,item_id,price,week,year,date_created,date_updated
1695,77000000003,10000.00,11,2024,2024-03-17T14:19:04+00:00,2024-03-17T14:19:04+00:00
8061,77000000003,10000.00,13,2024,2024-03-25T15:25:38+00:00,2024-03-27T11:14:56+00:00
12430,77000000003,10000.00,14,2024,2024-04-03T10:46:48+00:00,2024-04-03T10:46:48+00:00
16654,77000000003,10000.00,15,2024,2024-04-10T12:46:41+00:00,2024-04-10T12:46:41+00:00
20863,77000000003,10000.00,16,2024,2024-04-17T11:30:03+00:00,2024-04-17T11:30:03+00:00
25028,77000000003,10000.00,17,2024,2024-04-24T19:30:27+00:00,2024-04-24T19:30:27+00:00
29203,77000000003,10000.00,18,2024,2024-05-01T10:44:16+00:00,2024-05-01T10:44:16+00:00
33338,77000000003,10000.00,19,2024,2024-05-08T18:05:35+00:00,2024-05-08T18:05:35+00:00
37478,77000000003,10000.00,20,2024,2024-05-15T18:22:16+00:00,2024-05-15T18:22:16+00:00
41661,77000000003,10000.00,21,2024,2024-05-22T14:14:12+00:00,2024-05-22T14:14:12+00:00
45817,77000000003,10000.00,22,2024,2024-05-30T22:18:30+00:00,2024-05-30T22:18:30+00:00
49985,77000000003,10000.00,23,2024,2024-06-06T20:48:43+00:00,2024-06-06T20:48:43+00:00
54153,77000000003,10000.00,24,2024,2024-06-14T11:01:35+00:00,2024-06-14T11:01:35+00:00
58314,77000000003,10000.00,25,2024,2024-06-19T19:44:58+00:00,2024-06-19T19:44:58+00:00
62471,77000000003,10000.00,26,2024,2024-06-26T13:27:16+00:00,2024-06-26T13:27:16+00:00
66641,77000000003,10000.00,27,2024,2024-07-05T19:32:37+00:00,2024-07-05T19:32:37+00:00
70819,77000000003,10000.00,28,2024,2024-07-11T08:58:17+00:00,2024-07-11T08:58:17+00:00
75066,77000000003,10000.00,29,2024,2024-07-21T13:30:38+00:00,2024-07-21T13:30:38+00:00
79332,77000000003,10000.00,30,2024,2024-07-26T16:30:58+00:00,2024-07-26T16:30:58+00:00
83552,77000000003,9999.90,32,2024,2024-08-07T20:21:10+00:00,2024-08-09T14:33:53+00:00
87868,77000000003,10000.00,35,2024,2024-08-30T14:18:05+00:00,2024-08-30T14:18:05+00:00
92202,77000000003,10000.00,37,2024,2024-09-11T14:24:56+00:00,2024-09-11T14:24:56+00:00
96521,77000000003,10000.00,38,2024,2024-09-18T15:03:01+00:00,2024-09-18T15:03:01+00:00
100822,77000000003,10000.00,39,2024,2024-09-25T12:14:24+00:00,2024-09-25T12:14:24+00:00
105068,77000000003,10000.00,41,2024,2024-10-11T17:10:57+00:00,2024-10-11T17:10:57+00:00
109344,77000000003,10000.00,44,2024,2024-11-03T16:48:11+00:00,2024-11-03T16:48:11+00:00
113568,77000000003,10000.00,47,2024,2024-11-20T11:42:30+00:00,2024-11-20T11:42:30+00:00
117771,77000000003,10000.00,50,2024,2024-12-11T16:53:22+00:00,2024-12-11T16:53:22+00:00
122037,77000000003,10000.00,51,2024,2024-12-18T12:37:11+00:00,2024-12-18T12:37:11+00:00
126200,77000000003,10000.00,1,2025,2025-01-01T20:14:41+00:00,2025-01-01T20:14:41+00:00
130471,77000000003,10000.00,3,2025,2025-01-15T21:10:12+00:00,2025-01-15T21:10:12+00:00
134746,77000000003,10000.00,6,2025,2025-02-04T20:28:23+00:00,2025-02-04T20:28:23+00:00
139232,77000000003,10000.00,10,2025,2025-03-03T17:27:24+00:00,2025-03-03T17:27:24+00:00
143756,77000000003,10000.00,11,2025,2025-03-12T11:06:40+00:00,2025-03-12T11:06:40+00:00
148239,77000000003,10000.00,13,2025,2025-03-26T16:31:42+00:00,2025-03-26T16:31:42+00:00
152767,77000000003,10000.00,15,2025,2025-04-09T13:40:31+00:00,2025-04-09T13:40:31+00:00
157255,77000000003,10000.00,17,2025,2025-04-23T12:09:29+00:00,2025-04-23T12:09:29+00:00
161732,77000000003,10000.00,19,2025,2025-05-07T13:08:37+00:00,2025-05-07T13:08:37+00:00
166248,77000000003,10000.00,21,2025,2025-05-21T19:52:26+00:00,2025-05-21T19:52:26+00:00
170674,77000000003,10000.00,23,2025,2025-06-04T11:23:51+00:00,2025-06-04T11:23:51+00:00
175188,77000000003,10000.00,25,2025,2025-06-18T11:59:02+00:00,2025-06-18T11:59:02+00:00
179690,77000000003,10000.00,26,2025,2025-06-25T17:30:30+00:00,2025-06-25T17:30:30+00:00
184152,77000000003,10000.00,28,2025,2025-07-09T13:12:43+00:00,2025-07-09T13:12:43+00:00
188583,77000000003,10000.00,30,2025,2025-07-23T20:43:08+00:00,2025-07-23T20:43:08+00:00
192987,77000000003,10000.00,32,2025,2025-08-06T13:32:14+00:00,2025-08-06T13:32:14+00:00
