id,item_id,price,week,year,date_created,date_updated
670,28007000000,9250462.73,11,2024,2024-03-17T14:18:38+00:00,2024-03-17T14:18:38+00:00
6755,28007000000,9576588.78,13,2024,2024-03-25T15:24:23+00:00,2024-03-27T11:13:50+00:00
11146,28007000000,9576588.78,14,2024,2024-04-03T10:45:34+00:00,2024-04-03T10:45:34+00:00
15314,28007000000,9406633.48,15,2024,2024-04-10T12:45:20+00:00,2024-04-10T12:45:20+00:00
19523,28007000000,9406633.48,16,2024,2024-04-17T11:28:41+00:00,2024-04-17T11:28:41+00:00
23686,28007000000,9408543.22,17,2024,2024-04-24T19:29:07+00:00,2024-04-24T19:29:07+00:00
27861,28007000000,9408543.22,18,2024,2024-05-01T10:42:59+00:00,2024-05-01T10:42:59+00:00
32005,28007000000,9535581.46,19,2024,2024-05-08T18:04:22+00:00,2024-05-08T18:04:22+00:00
36145,28007000000,9535581.46,20,2024,2024-05-15T18:21:01+00:00,2024-05-15T18:21:01+00:00
40311,28007000000,10048512.83,21,2024,2024-05-22T14:12:55+00:00,2024-05-22T14:12:55+00:00
44467,28007000000,10048512.83,22,2024,2024-05-30T22:17:10+00:00,2024-05-30T22:17:10+00:00
48662,28007000000,10689242.95,23,2024,2024-06-06T20:47:24+00:00,2024-06-06T20:47:24+00:00
52830,28007000000,10689242.95,24,2024,2024-06-14T11:00:08+00:00,2024-06-14T11:00:08+00:00
56965,28007000000,11021741.34,25,2024,2024-06-19T19:43:40+00:00,2024-06-19T19:43:40+00:00
61122,28007000000,11021741.34,26,2024,2024-06-26T13:25:49+00:00,2024-06-26T13:25:49+00:00
65313,28007000000,11499979.25,27,2024,2024-07-05T19:31:16+00:00,2024-07-05T19:31:16+00:00
69491,28007000000,11499979.25,28,2024,2024-07-11T08:56:56+00:00,2024-07-11T08:56:56+00:00
73705,28007000000,11448673.46,29,2024,2024-07-21T13:29:12+00:00,2024-07-21T13:29:12+00:00
77971,28007000000,11448673.46,30,2024,2024-07-26T16:29:30+00:00,2024-07-26T16:29:30+00:00
82201,28007000000,10887363.15,32,2024,2024-08-07T20:19:44+00:00,2024-08-09T14:32:27+00:00
86495,28007000000,10642776.26,35,2024,2024-08-30T14:16:37+00:00,2024-08-30T14:16:37+00:00
90836,28007000000,9823847.69,37,2024,2024-09-11T14:23:27+00:00,2024-09-11T14:23:27+00:00
95155,28007000000,9823847.69,38,2024,2024-09-18T15:01:32+00:00,2024-09-18T15:01:32+00:00
99466,28007000000,8975380.57,39,2024,2024-09-25T12:12:53+00:00,2024-09-25T12:12:53+00:00
103711,28007000000,8217318.07,41,2024,2024-10-11T17:08:16+00:00,2024-10-11T17:08:16+00:00
107995,28007000000,7650326.91,44,2024,2024-11-03T16:46:16+00:00,2024-11-03T16:46:16+00:00
112222,28007000000,7352004.10,47,2024,2024-11-20T11:40:30+00:00,2024-11-20T11:40:30+00:00
116412,28007000000,7457533.89,50,2024,2024-12-11T16:51:11+00:00,2024-12-11T16:51:11+00:00
120690,28007000000,7708119.85,51,2024,2024-12-18T12:35:10+00:00,2024-12-18T12:35:10+00:00
124893,28007000000,7446720.24,1,2025,2025-01-01T20:12:46+00:00,2025-01-01T20:12:46+00:00
129082,28007000000,7265208.46,3,2025,2025-01-15T21:07:44+00:00,2025-01-15T21:07:44+00:00
133357,28007000000,7265208.46,6,2025,2025-02-04T20:24:15+00:00,2025-02-04T20:24:15+00:00
137781,28007000000,7683928.31,10,2025,2025-03-03T17:25:13+00:00,2025-03-03T17:25:13+00:00
142312,28007000000,7873057.54,11,2025,2025-03-12T11:04:22+00:00,2025-03-12T11:04:22+00:00
146830,28007000000,7688801.66,13,2025,2025-03-26T16:29:35+00:00,2025-03-26T16:29:35+00:00
151339,28007000000,7813053.90,15,2025,2025-04-09T13:37:40+00:00,2025-04-09T13:37:40+00:00
155862,28007000000,7991726.51,17,2025,2025-04-23T12:07:27+00:00,2025-04-23T12:07:27+00:00
160327,28007000000,8391911.20,19,2025,2025-05-07T13:06:35+00:00,2025-05-07T13:06:35+00:00
164805,28007000000,8917521.45,21,2025,2025-05-21T19:50:16+00:00,2025-05-21T19:50:16+00:00
164806,28007000000,9395539.76,23,2025,2025-06-04T11:21:42+00:00,2025-06-04T11:21:42+00:00
164807,28007000000,9597146.06,25,2025,2025-06-18T11:56:57+00:00,2025-06-18T11:56:57+00:00
